sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
10,3,A,,Period Covered End,xbrli:dateTimeItemType,0..1,,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,,Document Information,,,$.Accounting Entries.Document Information.Period Covered End,AccntgEntrs_DocmntInfrmn_PerdCovrdEnd,対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,gl-cor:periodCoveredEnd,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-cor:periodCoveredEnd
11,2,C,,Entity Information section,,0..1,,Holder for entity information - information about the reporting organization.,gl-cor,,Entity Information section,,,$.Accounting Entries.Entity Information section,AccntgEntrs_EnttyInfrmnSectn,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,gl-cor:entityInformation,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation
12,2,C,,Entry Information,,0..*,,Parent for entry headers/journal entry headers.,gl-cor,,Entry Information,,,$.Accounting Entries.Entry Information,AccntgEntrs_EntryInfrmn,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,gl-cor:entryHeader,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader
13,3,A,,Date Posted,xbrli:dateTimeItemType,0..1,,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,gl-cor,,Entry Information,,,$.Accounting Entries.Entry Information.Date Posted,AccntgEntrs_EntryInfrmn_DatPostd,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。,gl-cor:postedDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:postedDate
14,3,A,,Entry Creator,xbrli:stringItemType,0..1,,Initials/name of operator originally entering.,gl-cor,,Entry Information,,,$.Accounting Entries.Entry Information.Entry Creator,AccntgEntrs_EntryInfrmn_EntryCretr,仕訳作成者,最初に入力したオペレータのイニシャル/名前。,gl-cor:enteredBy,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:enteredBy
15,3,A,,Entry Date,xbrli:dateTimeItemType,0..1,,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",gl-cor,,Entry Information,,,$.Accounting Entries.Entry Information.Entry Date,AccntgEntrs_EntryInfrmn_EntryDat,入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。,gl-cor:enteredDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:enteredDate
16,3,A,,Source Journal,xbrli:tokenItemType,0..1,,"Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list:

cd      cash disbursements (sending cheques to vendors)
cr      cash receipts (receiving cheques from others)
fa      fixed assets
gi      giro/other bank adjustments
gj      general journal
im      inventory management
jc      job cost
pj      purchase journal (liabilities from purchases)
pl      payroll journal
sj      sales journal
se      standard entries
ud      user defined
ot      other sources of entries",gl-cor,,Entry Information,,,$.Accounting Entries.Entry Information.Source Journal,AccntgEntrs_EntryInfrmn_SorcJornl,元仕訳帳種別,"元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。
出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他
[設定値のリスト]
(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他)",gl-cor:sourceJournalID,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:sourceJournalID
17,3,A,,Type Identifier,xbrli:tokenItemType,0..1,,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",gl-cor,,Entry Information,,,$.Accounting Entries.Entry Information.Type Identifier,AccntgEntrs_EntryInfrmn_TypeIdntfr,種別識別子,"以下の値のうちのひとつ。
整理、予算、比較、外部会計事務所、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他
[設定値のリスト]
(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計事務所)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他)",gl-cor:entryType,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryType
18,3,A,,Entry Identifier,xbrli:stringItemType,0..1,,Identifier within source journal,gl-cor,,Entry Information,,,$.Accounting Entries.Entry Information.Entry Identifier,AccntgEntrs_EntryInfrmn_EntryIdntfr,仕訳識別子,元仕訳帳中の識別子。,gl-cor:entryNumber,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryNumber
19,3,A,,Entry Description,xbrli:stringItemType,0..1,,Description of entry described by this entry header (e.g. Opening Balance),gl-cor,,Entry Information,,,$.Accounting Entries.Entry Information.Entry Description,AccntgEntrs_EntryInfrmn_EntryDescrptn,仕訳説明,このエントリヘッダーによって説明された仕訳の説明(例えば、期首残高),gl-cor:entryComment,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryComment
20,3,A,,Entry Qualifier,xbrli:tokenItemType,0..1,,"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF (balance brought forward.) Permitted values are: standard, balance-brought-forward and other.",gl-cor,,Entry Information,,,$.Accounting Entries.Entry Information.Entry Qualifier,AccntgEntrs_EntryInfrmn_EntryQulfr,仕訳修飾子,"仕訳の修飾子。総勘定元帳や試算表で、開始残高や決算残高のように、記された値が報告日で集約されていることを明示することが重要なときに有用な、仕訳の種別を修飾するもの。会計システムにおいて、BBF（繰越残高）として知られるもの。指定可能な値は以下。標準、繰越残高、その他
[設定値のリスト]
(standard：標準)、(balance-brought-forward：繰越残高)、(other：その他)",gl-cor:qualifierEntry,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:qualifierEntry
21,3,A,,Entry Qualifier Description,xbrli:stringItemType,0..1,,Free format description of the entry qualifier,gl-cor,,Entry Information,,,$.Accounting Entries.Entry Information.Entry Qualifier Description,AccntgEntrs_EntryInfrmn_EntryQulfrDescrptn,仕訳修飾子説明,仕訳の修飾子の説明。,gl-cor:qualifierEntryDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:qualifierEntryDescription
22,3,A,,Type of Difference Between Book and Tax,xbrli:tokenItemType,0..1,,"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to ""none""",gl-cor,,Entry Information,,,$.Accounting Entries.Entry Information.Type of Difference Between Book and Tax,AccntgEntrs_EntryInfrmn_TypeDiffrncBetwnBokAndTax,帳簿価税務簿価差異種別,"帳簿と税務会計処理方法との差異の種別を示す値。永久か一時的かまたは無し。値の省略時は「無し」と同じ。
[設定値のリスト]
(permanent：永久)、(temporary：一時的)、(none：無し)",gl-cor:bookTaxDifference,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:bookTaxDifference
23,3,A,,Entry Number Counter,xbrli:decimalItemType,0..1,,Unique reference for the entry - a numeric counter,gl-cor,,Entry Information,,,$.Accounting Entries.Entry Information.Entry Number Counter,AccntgEntrs_EntryInfrmn_EntryNumbrContr,仕訳番号カウンタ,仕訳の一意なリファレンス　　カウンタ,gl-cor:entryNumberCounter,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryNumberCounter
24,3,C,,Entry Detail,,0..*,,Parent for entry detail,gl-cor,,Entry Detail,,,$.Accounting Entries.Entry Information.Entry Detail,AccntgEntrs_EntryInfrmn_EntryDetl,【仕訳明細】,仕訳明細の親タグ。,gl-cor:entryDetail,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail
25,4,A,,Line Number,xbrli:stringItemType,0..1,,Identifier for a particular entry detail,gl-cor,,Entry Detail,,,$.Accounting Entries.Entry Information.Entry Detail.Line Number,AccntgEntrs_EntryInfrmn_EntryDetl_LinNumbr,明細行番号,仕訳明細の識別子。,gl-cor:lineNumber,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:lineNumber
26,4,A,,Line Number Counter,xbrli:decimalItemType,0..1,,Unique reference for the line - a numeric counter,gl-cor,,Entry Detail,,,$.Accounting Entries.Entry Information.Entry Detail.Line Number Counter,AccntgEntrs_EntryInfrmn_EntryDetl_LinNumbrContr,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ,gl-cor:lineNumberCounter,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:lineNumberCounter
27,4,C,,Account Identifier,,0..*,,"Tuple: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",gl-cor,,Account Identifier,,,$.Accounting Entries.Entry Information.Entry Detail.Account Identifier,AccntgEntrs_EntryInfrmn_EntryDetl_AccntIdntfr,【科目識別子】,"タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",gl-cor:account,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account
28,5,A,,Main Account Number,xbrli:stringItemType,0..1,,"Main account - the code used to identify the accounting bucket the entry has been assigned to. Examples might be 1000 for Cash, 567GAAZ for Sales Expense or Z for tax payments. Identifiers such as department, branch, division, manager, or other modifiers are noted in the Subaccount area. Before needing to post, account is not necessary. Posting to the general ledger almost always requires an entry here.",gl-cor,,Account Identifier,,,$.Accounting Entries.Entry Information.Entry Detail.Account Identifier.Main Account Number,AccntgEntrs_EntryInfrmn_EntryDetl_AccntIdntfr_ManAccntNumbr,主勘定科目コード,"主勘定科目。仕訳が関連する会計バケットを特定するためのコード。例えば、現金を表す1000、販売費を表す567GAAZ、税を表すZ。
部門、支店、事業部、マネージャ、その他の識別子は、Subaccount領域に記述される。転記の必要がなければ、勘定科目は必要ではない。総勘定元帳に転記するにはほとんどの場合必要。",gl-cor:accountMainID,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountMainID
29,5,A,,Main Account Description,xbrli:stringItemType,0..1,,Description of accountMainID - the human readable describer that accompanies the code used in accountMainID,gl-cor,,Account Identifier,,,$.Accounting Entries.Entry Information.Entry Detail.Account Identifier.Main Account Description,AccntgEntrs_EntryInfrmn_EntryDetl_AccntIdntfr_ManAccntDescrptn,主勘定科目説明,主勘定科目コードの説明。主勘定科目コードとして使用されるコードについての、人が読める記述。,gl-cor:accountMainDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountMainDescription
30,5,A,,Account Classification,xbrli:tokenItemType,0..1,,"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associated other XBRL reporting items, this field is more suited to representing existing systems (audit) than data interchange. Enumerated as: asset, liability, equity, income, gain, expense, loss, contr-to-equity, distr-from-equity, comprehensive-income, other.",gl-cor,,Account Identifier,,,$.Accounting Entries.Entry Information.Entry Detail.Account Identifier.Account Classification,AccntgEntrs_EntryInfrmn_EntryDetl_AccntIdntfr_AccntClassfctn,主勘定科目区分,"主勘定科目の種別。FASB Concepts 6および、同様の国際的な様式。xbrlInfoが他のXBRL項目と関係付けられる場合、データ交換より現存システム(audit)を示すべき。
[設定値のリスト]
(asset：資産)、(liability：負債)、(equity：資本)、(income：収益)、(gain：利得)、(expense：費用)、(loss：損失)、(contr-to-equity：資本増加)、(distr-from-equity：資本減少)、(comprehensive-income：包括利益)、(other：その他)",gl-cor:mainAccountType,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:mainAccountType
31,5,A,,Account Classification Description,xbrli:stringItemType,0..1,,Free format description of the account classification,gl-cor,,Account Identifier,,,$.Accounting Entries.Entry Information.Entry Detail.Account Identifier.Account Classification Description,AccntgEntrs_EntryInfrmn_EntryDetl_AccntIdntfr_AccntClassfctnDescrptn,主勘定科目区分説明,主勘定科目の区分の説明。,gl-cor:mainAccountTypeDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:mainAccountTypeDescription
32,5,A,,Parent Account Number,xbrli:stringItemType,0..1,,Roll up item from child natural account to parent natural account.,gl-cor,,Account Identifier,,,$.Accounting Entries.Entry Information.Entry Detail.Account Identifier.Parent Account Number,AccntgEntrs_EntryInfrmn_EntryDetl_AccntIdntfr_ParntAccntNumbr,親勘定科目コード,子勘定科目から親勘定科目に包み込む科目。,gl-cor:parentAccountMainID,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:parentAccountMainID
33,5,A,,Purpose of Account,xbrli:tokenItemType,0..1,,"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company.",gl-cor,,Account Identifier,,,$.Accounting Entries.Entry Information.Entry Detail.Account Identifier.Purpose of Account,AccntgEntrs_EntryInfrmn_EntryDetl_AccntIdntfr_PurpsAccnt,勘定科目目的,"勘定科目群の使用法を示すコード。連結、European, IFRS, 見返、プライマリ, 税, USGAAP, Japanese,その他。日本企業では、見返仕訳で要求される税務処理に利用するかもしれない。空白の場合、企業の既定の勘定方法とみなす。
[設定値のリスト]
(consolidating：連結)、(european：ヨーロッパ)、(ifrs：IFRS)、(offsetting：見返)、(primary：プライマリ)、(tax：税)、(usgaap：US GAAP)、(japanese：日本)、(other：その他)",gl-cor:accountPurposeCode,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountPurposeCode
34,5,A,,Description of Purpose of Account,xbrli:stringItemType,0..1,,Description of usage for aggregate account,gl-cor,,Account Identifier,,,$.Accounting Entries.Entry Information.Entry Detail.Account Identifier.Description of Purpose of Account,AccntgEntrs_EntryInfrmn_EntryDetl_AccntIdntfr_DescrptnPurpsAccnt,勘定科目目的説明,勘定科目群の使用法の説明。,gl-cor:accountPurposeDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountPurposeDescription
35,5,A,,Account Type,xbrli:tokenItemType,0..1,,"Type of account. Enumerated as: account, bank, employee, customer, job, vendor, measurable, statistical, other.",gl-cor,,Account Identifier,,,$.Accounting Entries.Entry Information.Entry Detail.Account Identifier.Account Type,AccntgEntrs_EntryInfrmn_EntryDetl_AccntIdntfr_AccntType,科目種別,"科目の種別。
[設定値のリスト]
(account：勘定科目)、(bank：銀行)、(employee：従業員)、(customer：顧客)、(job：ジョブ)、(vendor：仕入先)、(measurable：計測可能物)、(statistical：統計)、(other：その他)",gl-cor:accountType,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountType
36,5,A,,Account Type Description,xbrli:stringItemType,0..1,,Free format description of the account type,gl-cor,,Account Identifier,,,$.Accounting Entries.Entry Information.Entry Detail.Account Identifier.Account Type Description,AccntgEntrs_EntryInfrmn_EntryDetl_AccntIdntfr_AccntTypeDescrptn,科目種別説明,科目の種別の説明。,gl-cor:accountTypeDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountTypeDescription
37,5,C,,Subaccount Information,,0..*,,Tuple to hold multiple accountSubIDs and Descriptions,gl-cor,,Subaccount Information,,,$.Accounting Entries.Entry Information.Entry Detail.Account Identifier.Subaccount Information,AccntgEntrs_EntryInfrmn_EntryDetl_AccntIdntfr_SubccntInfrmn,【サブ科目情報】,複数のaccountSubIDと説明文を含むタプル。,gl-cor:accountSub,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountSub
38,6,A,,Subaccount Description,xbrli:stringItemType,0..1,,The description that accompanies accountSubID belongs here.,gl-cor,,Subaccount Information,,,$.Accounting Entries.Entry Information.Entry Detail.Account Identifier.Subaccount Information.Subaccount Description,AccntgEntrs_EntryInfrmn_EntryDetl_AccntIdntfr_SubccntInfrmn_SubccntDescrptn,サブ科目説明,accountSubIDに関する説明。,gl-cor:accountSubDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountSub/gl-cor:accountSubDescription
39,6,A,,Subaccount,xbrli:stringItemType,0..1,,"Where the primary account was placed in accountMainID, the code used for each profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here.",gl-cor,,Subaccount Information,,,$.Accounting Entries.Entry Information.Entry Detail.Account Identifier.Subaccount Information.Subaccount,AccntgEntrs_EntryInfrmn_EntryDetl_AccntIdntfr_SubccntInfrmn_Subccnt,サブ科目コード,主勘定科目をaccountMainIDに指定したときに、各プロフィットセンタ、事業部、事業体、基金、プログラム、支店、プロジェクト、クラス、su-クラス又は他の修飾子に使用されるコードはここに指定する。,gl-cor:accountSubID,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountSub/gl-cor:accountSubID
