sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,table,domain_name,element,label_local,definition_local,xpath,id
144,2,Composition,,Account Identifier,,,Subaccount,0..*,,gl-cor,0,,,【サブ科目情報】,複数のaccountSubIDと説明文を含むタプル。,,CO09_15
82,1,Class,,Accountant,,,,0..*,Information about the relevant external accountant,gl-bus,0,,,【会計事務所情報】,関連する外部会計事務所に関する情報。,,BU12
83,2,Attribute,,Accountant,Accountant Name,xbrli:stringItemType,,0..1,Name of the accountant,gl-bus,0,,,会計事務所名,会計事務所の名前。,,BU12_01
84,2,Attribute,,Accountant,Type of Engagement,xbrli:tokenItemType,,0..1,"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other.",gl-bus,0,,,契約種別,"外部会計事務所によって実行される契約の種別。
[設定値のリスト]
(audit：監査)、(review：検査)、(compilation：帳簿作成)、(tax：税)、(other：その他)",,BU12_02
85,2,Attribute,,Accountant,Type of Engagement Description,xbrli:stringItemType,,0..1,Free format description of the type of engagement,gl-bus,0,,,契約種別説明,契約種別の説明。,,BU12_03
86,2,Composition,,Accountant,,,Address,0..*,,gl-bus,0,,,【会計事務所住所】,会計事務所の住所情報を含むセクション。,,BU12_04
87,2,Composition,,Accountant,,,Contact,0..*,,gl-bus,0,,,【会計事務所担当者情報】,会計事務所の担当者情報の構造体。,,BU12_05
363,1,Class,,Accounting Entries,,,,1..*,Root for XBRL GL. No entry made here.,gl-cor,0,,,【会計仕訳】,XBRL GLのルート要素。 この要素にはデータは登録されない。,,CO16
364,2,Composition,,Accounting Entries,,,Document Information,1..1,,gl-cor,0,,,【文書情報】,この会計仕訳に関する情報の親タグ。,,CO16_01
365,2,Composition,,Accounting Entries,,,Entitry Information,0..1,,gl-cor,0,,,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,,CO16_02
366,2,Composition,,Accounting Entries,,,Entry Header,0..*,,gl-cor,0,,,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,,CO16_03
75,1,Class,,Accounting Method,,,,0..*,Structure for identifying the methods of accounting used by the entity for different reporting purposes,gl-bus,0,,,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。,,BU11
76,2,Attribute,,Accounting Method,Method,xbrli:tokenItemType,,0..1,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",gl-bus,0,,,会計処理方法,"事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他
[設定値のリスト]
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)",,BU11_01
77,2,Attribute,,Accounting Method,Description,xbrli:stringItemType,,0..1,Free format description of the accounting method,gl-bus,0,,,会計処理方法説明,会計処理方法の説明。,,BU11_02
78,2,Attribute,,Accounting Method,Purpose,xbrli:tokenItemType,,0..1,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",gl-bus,0,,,会計処理方法目的,"事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",,BU11_03
79,2,Attribute,,Accounting Method,Purpose Description,xbrli:stringItemType,,0..1,Free format description of the accounting method purpose,gl-bus,0,,,会計処理方法目的説明,会計処理方法の目的の説明。,,BU11_04
80,2,Attribute,,Accounting Method,Start Date,xbrli:dateTimeItemType,,0..1,Accounting Method Start Date,gl-bus,0,,,会計処理方法開始日付,会計処理方法の開始日。,,BU11_05
81,2,Attribute,,Accounting Method,End Date,xbrli:dateTimeItemType,,0..1,Accounting Method End Date,gl-bus,0,,,会計処理方法終了日付,会計処理方法の終了日。,,BU11_06
23,1,Class,,Address,,,,0..*,Structure which contains address information.,gl-bus,0,,,【住所】,住所情報。,,BU06
24,2,Attribute,,Address,Name,xbrli:stringItemType,,0..1,Address Name,gl-bus,0,,,住所名,住所の名前。,,BU06_01
25,2,Attribute,,Address,Description,xbrli:stringItemType,,0..1,Address Description,gl-bus,0,,,住所説明,住所の説明。,,BU06_02
26,2,Attribute,,Address,Purpose,xbrli:stringItemType,,0..1,Address Purpose,gl-bus,0,,,住所目的,住所の目的。,,BU06_03
27,2,Attribute,,Address,Location Identifier,xbrli:stringItemType,,0..1,A code used to identify the location and to associate it with contacts and transactions,gl-bus,0,,,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,,BU06_04
28,2,Attribute,,Address,Building Number,xbrli:stringItemType,,0..1,Building Number,gl-bus,0,,,住所建物番号,建物番号。,,BU06_05
29,2,Attribute,,Address,Street,xbrli:stringItemType,,0..1,Street address,gl-bus,0,,,住所通り,住所の通り。,,BU06_06
30,2,Attribute,,Address,Street2,xbrli:stringItemType,,0..1,Address Detail,gl-bus,0,,,住所詳細,住所詳細。,,BU06_07
31,2,Attribute,,Address,City,xbrli:stringItemType,,0..1,City,gl-bus,0,,,住所都市,住所の都市。,,BU06_08
32,2,Attribute,,Address,State or Province,xbrli:stringItemType,,0..1,"State, province or region",gl-bus,0,,,住所州,住所の州や地方。,,BU06_09
33,2,Attribute,,Address,Country,xbrli:stringItemType,,0..1,Country,gl-bus,0,,,住所国,住所の国。,,BU06_10
34,2,Attribute,,Address,Zip or Postal Code,xbrli:stringItemType,,0..1,Zip or other postal code,gl-bus,0,,,住所郵便番号,住所の郵便番号。,,BU06_11
35,2,Attribute,,Address,Active Indicator,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",gl-bus,0,,,住所有効性,住所が有効か無効かを示すブール値。,,BU06_12
19,1,Class,,Approved,,,,0..*,Data entry approval activity record,gl-cor,0,,,【承認活動】,データ入力承認活動の記録,,CO03
15,2,Attribute,,Approved.Activity,Date Time,xbrli:dateTimeItemType,,1,Date and time of activity,gl-cor,0,,,日時,実行日時,,CO03_CO01_01
16,2,Reference Association,,Approved.Activity,,,User,1,System user performing the activity,gl-cor,0,,,システムユーザー,操作ユーザー,,CO03_CO01_02
71,1,Class,,Contact,,,,0..*,Information about contacts.,gl-bus,0,,,【担当者情報】,担当者に関する情報。,,BU09
58,2,Attribute,PK,Contact.Person,ID,xbrli:tokenItemType,,1,A unique and persistent identifier used to distinguish a person within the system.,gl-bus,0,,,識別番号,システム内で個人を識別するための一意かつ永続的な識別子。,,BU09_BU08_01
59,2,Attribute,,Contact.Person,Prefix,xbrli:stringItemType,,0..1,"Prefix (e.g. Dr., Mr., Mrs.)",gl-bus,0,,,敬称,敬称(Dr.、Mr.、Mrs.など),,BU09_BU08_02
60,2,Attribute,,Contact.Person,Last Name,xbrli:stringItemType,,0..1,Last or family name,gl-bus,0,,,姓,姓,,BU09_BU08_03
61,2,Attribute,,Contact.Person,First Name,xbrli:stringItemType,,0..1,First or given name,gl-bus,0,,,名,名、クリスチャンネーム,,BU09_BU08_04
62,2,Attribute,,Contact.Person,Suffix,xbrli:stringItemType,,0..1,"Suffix (e.g. MD, CPA, Jr.)",gl-bus,0,,,付加名称,付加名称(MD、CPA、Jr.など),,BU09_BU08_05
63,2,Attribute,,Contact.Person,Attention Line,xbrli:stringItemType,,0..1,Attention Line,gl-bus,0,,,アテンションライン,アテンションライン,,BU09_BU08_06
64,2,Attribute,,Contact.Person,Position Role,xbrli:stringItemType,,0..1,Position or role,gl-bus,0,,,地位/役職,地位や役職。,,BU09_BU08_07
65,2,Attribute,,Contact.Person,Role of Contact,xbrli:stringItemType,,0..1,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",gl-bus,0,,,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,,BU09_BU08_08
66,2,Attribute,,Contact.Person,Location ID cross reference,xbrli:stringItemType,,0..1,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,gl-bus,0,,,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,,BU09_BU08_09
67,2,Attribute,,Contact.Person,Contact Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",gl-bus,0,,,担当者有効性,担当者が有効か無効かを示すブール値。,,BU09_BU08_10
68,2,Composition,,Contact.Person,,,Phone,0..*,,gl-bus,0,,,【担当者電話番号】,担当者の電話番号。,,BU09_BU08_11
69,2,Composition,,Contact.Person,,,Fax,0..*,,gl-bus,0,,,【担当者FAX番号】,担当者のFAX番号の構造体。,,BU09_BU08_12
70,2,Composition,,Contact.Person,,,Email,0..*,,gl-bus,0,,,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,,BU09_BU08_13
215,1,Class,,Depreciation Mortgage,,,,0..*,"Parent for information related to depreciation, mortgages, etc.",gl-bus,0,,,【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。,,BU17
216,2,Attribute,,Depreciation Mortgage,Mortgage Jurisdiction,xbrli:tokenItemType,,0..1,"Jurisdiction (e.g. federal, state, local): e.g. US Federal, Province of Québec, other identifier. Enumerated as: F, federal, S, state, L, local, other.",gl-bus,0,,,抵当債務管轄,"管轄地区。（連邦、州、ローカル、等）。たとえば、米国連邦政府、ケベック州、その他の識別子。
[設定値のリスト]
(F)、(federal：連邦)、(S)、(state：州)、(L)、(local：地域)、(other：その他)",,BU17_01
217,2,Attribute,,Depreciation Mortgage,Depreciation Method,xbrli:stringItemType,,0..1,"Type of depreciation method: used for information about the loan percentage for loan or the depreciation method. This is used for informational purposes only. Examples of entries are ""20%"", ""5 year DDB"" (Double Declining Balance).",gl-bus,0,,,減価償却方法,減価償却方法のタイプ。ローンのパーセンテージや減価償却方法に関する情報を含む。単なる情報提供を目的とする。たとえば、20%、5年、DDB(倍額定率)。,,BU17_02
218,2,Attribute,,Depreciation Mortgage,Mortgage Life,xbrli:decimalItemType,,0..1,Length of life in number of periods.,gl-bus,0,,,抵当債務期間,存在する期間数。,,BU17_03
219,2,Attribute,,Depreciation Mortgage,Description,xbrli:stringItemType,,0..1,"Description of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,0,,,債務説明,減価償却や債権債務、ローン、信用供与等に関する項目の説明。,,BU17_04
220,2,Attribute,,Depreciation Mortgage,Start Date,xbrli:dateTimeItemType,,0..1,"Start of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,0,,,開始日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の開始日。,,BU17_05
221,2,Attribute,,Depreciation Mortgage,End Date,xbrli:dateTimeItemType,,0..1,"End of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,0,,,終了日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の終了日。,,BU17_06
222,2,Attribute,,Depreciation Mortgage,Amount,xbrli:monetaryItemType,,0..1,"Amount of a cost or fee charged for a mortgage, loan, credit facility, etc.",gl-bus,0,,,手数料,減価償却や債権債務、ローン、信用供与等で請求されるコストや手数料。,,BU17_07
36,1,Class,,Document Information,,,,1..1,Parent for descriptive information about the accountingEntries Structure in which it is contained.,gl-cor,0,,,【文書情報】,この会計仕訳に関する情報の親タグ。,,CO05
37,2,Attribute,PK,Document Information,Audit Number,xbrli:stringItemType,,0..1,Unique identifier for this file.,gl-cor,0,,,監査番号,このファイルの一意識別子。,,CO05_01
38,2,Attribute,,Document Information,Document Type,xbrli:tokenItemType,,1..1,"account: information to fill in a chart of accounts file.  
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger  
entries: a list of individual accounting entries, which might be posted/validated or nonposted/validated   
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. 
taxtables: aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] structures to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] structure, these ""master file"" tax tables can be referenced. 
mapping: a collection of mappings between interrelated data sets, such as a local and related corporate standard chart of accounts or detail data mapped to summarized end reporting concepts.   
versioning: a collection of changes between two versions of the same class of information, such as updates to a master file like a chart of accounts.   
master_file: a collection of master files, such as the customer or inventory master file.   
trade_documents: a collection of trade/transactional documents, such as vendor invoices or customer orders.   
profile_compliant: the meaning of this collection of information can be determined by understanding an established profile and especially an XBRL GL Profile. Profiles are determined through namespace declarations, schemaRef and conventions of those profiles.   
other: for all other types of representations.

Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",gl-cor,0,,,文書種別,"・科目:科目体系ファイルの情報。 ・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。 ・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。 ・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。 ・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。 ・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。 ・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。 ・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。 ・マッピング情報:互いに関係があるデータセットの間の対応関係を集めたもの。例えば、企業グループ内の各会社で使用する勘定科目と全社勘定科目との対応付け、または明細データと最終的な報告書上の要約された科目への対応付け。 ・差分情報:同じクラス（種類）で異なるバージョンを持つ項目の変更・差分情報。例えば、勘定科目一覧のようなマスタファイルの特定科目の更新情報など。  ・マスターファイル:マスタファイルの一覧。例えば、顧客マスタ又は在庫/棚卸マスタなど。  ・取引伝票:取引に用いる情報の集合。例えば、納入業者からのインボイス 又は顧客からの受注情報など。  ・プロファイル情報:確立された文書説明情報及び特にXBRL GLプロファイルを理解し決定するこの情報の集合の意味を示す。説明情報は、名前空間宣言、スキーマ参照及びこれらの規約を通して決定する。  ・その他：その他のすべての表現形式  多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。 [設定値のリスト] (account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)、(Mapping：マッピング情報)、(versioning：差分情報)、(master_file：マスターファイル)、(trade_documents：取引伝票)、(profile_compliant：プロファイル情報)、(other：その他)",,CO05_02
39,2,Attribute,,Document Information,Revises Audit Number,xbrli:stringItemType,,0..1,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",gl-cor,0,,,改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。,,CO05_03
40,2,Attribute,,Document Information,Action to Take with Previous Data,xbrli:tokenItemType,,0..1,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,gl-cor,0,,,改訂前データ処置,"以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。
補完-元々含まれていたかのように、そのデータに所属させる。
[設定値のリスト]
(supplement：補完)、(supersede：取替え)",,CO05_04
41,2,Attribute,,Document Information,Language,xbrli:QNameItemType,,0..1,"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.",gl-cor,0,,,言語,主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。,,CO05_05
42,2,Attribute,,Document Information,Creation Date,xbrli:dateTimeItemType,,0..1,Date/time file was created.,gl-cor,0,,,作成日付,ファイルが作成された日付/時間。,,CO05_06
43,2,Attribute,,Document Information,Creator,xbrli:stringItemType,,0..1,Identifies the creator of the XBRL instance.,gl-cor,0,,,作成者,ファイルの作成者の識別子。,,CO05_BU05_07
44,2,Attribute,,Document Information,Document Comment,xbrli:stringItemType,,0..1,Text for entire document.,gl-cor,0,,,文書コメント,文書全体に対する説明文。,,CO05_08
45,2,Attribute,,Document Information,Period Covered Start,xbrli:dateTimeItemType,,0..1,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,0,,,対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,,CO05_09
46,2,Attribute,,Document Information,Period Covered End,xbrli:dateTimeItemType,,0..1,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,0,,,対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,,CO05_10
47,2,Attribute,,Document Information,Period Count,xbrli:decimalItemType,,0..1,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",gl-cor,0,,,期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,,CO05_BU05_11
48,2,Attribute,,Document Information,Period Unit,xbrli:tokenItemType,,0..1,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",gl-cor,0,,,期間単位,"periodCountで対象とする期間の種別。
[設定値のリスト]
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他)",,CO05_BU05_12
49,2,Attribute,,Document Information,Period Unit Description,xbrli:stringItemType,,0..1,Free format description of the period unit,gl-cor,0,,,期間単位説明,対象期間単位の説明。,,CO05_BU05_13
50,2,Attribute,,Document Information,Source Application,xbrli:stringItemType,,0..1,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",gl-cor,0,,,作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,,CO05_BU05_14
51,2,Attribute,,Document Information,Target Application,xbrli:stringItemType,,0..1,Particular use for which file was generated.,gl-cor,0,,,対象アプリケーション,ファイルが作成された用途。,,CO05_BU05_15
52,2,Attribute,,Document Information,Default Currency,xbrli:QNameItemType,,0..1,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",gl-cor,0,,,既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,,CO05_MC05_16
53,2,Composition,,Document Information,,,Summary Reporting Taxonomy,0..*,,gl-cor,0,,,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,,CO05_SR05_17
10,1,Class,,Email,,,,0..*,Email address information.,gl-bus,0,,,【Eメールアドレス】,Eメールアドレス情報。,,BU04
8,2,Attribute,,Email.URI,Descrption,xbrli:stringItemType,,0..1,"URI address usage (e.g. orders, head office, IR)",gl-bus,0,,,URIアドレス用途,URIアドレスの用途。(注文、本社、IRなど),,BU04_BU03_01
9,2,Attribute,,Email.URI,Address,xbrli:stringItemType,,0..1,URI Address,gl-bus,0,,,URIアドレス,URIアドレス。,,BU04_BU03_02
17,1,Class,,Entered,,,,0..*,Data entry activity record,gl-cor,0,,,【入力活動】,データ入力活動の記録,,CO02
15,2,Attribute,,Entered.Activity,Date Time,xbrli:dateTimeItemType,,1,Date and time of activity,gl-cor,0,,,日時,実行日時,,CO02_CO01_01
16,2,Reference Association,,Entered.Activity,,,User,1,System user performing the activity,gl-cor,0,,,システムユーザー,操作ユーザー,,CO02_CO01_02
104,1,Class,,Entitry Information,,,,0..1,Holder for entity information - information about the reporting organization.,gl-cor,0,,,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,,CO06
105,2,Attribute,,Entitry Information,Default Accounting Method Purpose,xbrli:tokenItemType,,0..1,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",gl-cor,0,,,既定会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",,CO06_BU06_01
